Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
Qwen2.5-Coder-14B,Qwen2.5-Coder-14B,116.26,103.76,122.34,2024-09-18,,,Unknown,Other,
Gemma 3 4B,Gemma 3 4B,116.02,96.21,123.52,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
GPT-3.5 Turbo (Jan 2024),GPT-3.5 Turbo (Jan 2024),115.61,106.54,119.04,2024-01-25,OpenAI,United States of America,API access,Closed weights,
PaLM 2-L,PaLM 2-L,114.84,106.58,128.24,2023-05-17,,,Unknown,Other,
Llama 2-70B,Llama 2-70B,113.59,103.8,117.42,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-3.5 Turbo (Jun 2023),GPT-3.5 Turbo (Jun 2023),113.14,102.96,117.98,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Qwen2.5-Coder (7B),Qwen2.5-Coder (7B),112.93,101.66,119.0,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen-14B,Qwen-14B,112.8,102.22,117.1,2023-09-24,Alibaba,China,Open weights (restricted use),Open weights,
Mistral 7B v0.1,Mistral 7B v0.1,111.97,101.44,115.92,2023-09-27,Mistral AI,France,Open weights (unrestricted),Open weights,
Falcon-180B,Falcon-180B,111.89,100.79,118.22,2023-09-06,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),Open weights,
internlm-20b,internlm-20b,111.84,100.86,116.65,2023-09-18,,,Unknown,Other,
Gemma 7B,Gemma 7B,111.74,100.68,116.52,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
DeepSeek LLM 67B,DeepSeek LLM 67B,110.54,93.2,116.86,2023-11-29,DeepSeek,China,Open weights (restricted use),Open weights,
LLaMA-65B,LLaMA-65B,109.88,99.44,114.11,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Falcon 2 11B,Falcon 2 11B,109.25,98.82,115.82,2024-05-09,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),Open weights,
Mistral 7B v0.3,Mistral 7B v0.3,108.73,95.92,112.55,2024-05-27,Mistral AI,France,Open weights (unrestricted),Open weights,
DeepSeek-Coder-V2-Lite-Base,DeepSeek-Coder-V2-Lite-Base,108.57,96.16,114.23,2024-06-13,,,Unknown,Other,
PaLM 2-M,PaLM 2-M,107.96,96.41,116.8,2023-05-17,,,Unknown,Other,
Phi-2,Phi-2,107.62,85.33,113.3,2023-12-12,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Qwen2.5-Coder-3B,Qwen2.5-Coder-3B,107.4,92.61,115.0,2024-09-18,,,Unknown,Other,
Nemotron-4 15B,Nemotron-4 15B,107.38,95.64,113.21,2024-02-26,NVIDIA,United States of America,Unreleased,Closed weights,
Yi-9B,Yi-9B,107.27,95.37,115.45,2024-03-01,,,Unknown,Other,
LLaMA-33B,LLaMA-33B,107.06,95.48,111.95,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Qwen-7B,Qwen-7B,106.47,93.35,112.53,2023-09-28,Alibaba,China,Open weights (restricted use),Open weights,
Llama 2-13B,Llama 2-13B,105.8,93.55,110.93,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
PaLM 2-S,PaLM 2-S,105.79,94.89,113.61,2023-05-17,,,Unknown,Other,
Llama 2-34B,Llama 2-34B,104.81,92.31,110.58,2023-07-18,Meta AI,United States of America,Unreleased,Closed weights,
StarCoder 2 15B,StarCoder 2 15B,104.61,92.54,111.46,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
Yi 6B,Yi 6B,104.37,92.49,110.59,2023-11-22,01.AI,China,Open weights (restricted use),Open weights,
Falcon-40B,Falcon-40B,104.04,91.84,109.52,2023-05-25,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),Open weights,
Baichuan2-13B,Baichuan2-13B,102.76,89.65,109.73,2023-09-06,Baichuan,China,Open weights (restricted use),Open weights,
Qwen2.5-Coder (1.5B),Qwen2.5-Coder (1.5B),102.56,85.74,110.25,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
internlm-7b,internlm-7b,102.43,89.15,109.01,2023-07-05,,,Unknown,Other,
Llama 3.2 1B,Llama 3.2 1B,101.95,88.84,112.79,2024-09-24,Meta AI,United States of America,Open weights (restricted use),Open weights,
INTELLECT-1,INTELLECT-1,100.38,87.46,106.06,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI",United States of America,Unknown,Other,
MPT-30B,MPT-30B,100.16,87.58,106.18,2023-06-22,MosaicML,United States of America,Open weights (unrestricted),Open weights,
LLaMA-13B,LLaMA-13B,100.09,86.57,105.95,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Llama 2-7B,Llama 2-7B,98.54,85.88,105.23,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
chatglm2-6b,chatglm2-6b,98.41,77.28,105.45,2023-06-24,,,Unknown,Other,
LLaMA-7B,LLaMA-7B,96.12,81.98,103.59,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Baichuan 2-7B,Baichuan 2-7B,95.75,80.55,103.68,2023-09-20,Baichuan,China,Open weights (restricted use),Open weights,
DeepSeek Coder 33B,DeepSeek Coder 33B,95.74,79.38,102.87,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
Falcon-7B,Falcon-7B,94.49,80.68,101.87,2023-04-24,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),Open weights,
CodeQwen1.5-7B,CodeQwen1.5-7B,94.24,76.39,101.91,2024-04-15,,,Unknown,Other,
vicuna-13b-v1.1,vicuna-13b-v1.1,94.04,78.07,101.89,2023-04-12,,,Unknown,Other,
MPT-7B,MPT-7B,93.97,78.1,101.6,2023-05-05,MosaicML,United States of America,Open weights (unrestricted),Open weights,
Gemma 2B,Gemma 2B,93.57,79.07,101.0,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
StarCoder 2 7B,StarCoder 2 7B,92.92,73.42,101.15,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
XGen-7B,XGen-7B,92.75,77.59,100.67,2023-06-27,Salesforce,United States of America,Open weights (unrestricted),Open weights,
Qwen-1_8B,Qwen-1_8B,92.28,68.79,101.69,2023-11-30,,,Unknown,Other,
open_llama_7b,open_llama_7b,90.96,74.56,98.49,2023-06-07,,,Unknown,Other,
Phi-1.5,Phi-1.5,90.82,66.25,100.47,2023-09-11,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Baichuan1-7B,Baichuan1-7B,89.77,73.9,98.57,2023-06-01,Baichuan,China,Open weights (non-commercial),Open weights,
RedPajama-INCITE-7B-Base,RedPajama-INCITE-7B-Base,89.71,72.73,98.39,2023-05-04,,,Unknown,Other,
Dolly 2.0-12b,Dolly 2.0-12b,88.94,71.56,97.47,2023-04-11,Databricks,United States of America,Open weights (unrestricted),Open weights,
DeepSeek Coder 6.7B,DeepSeek Coder 6.7B,88.88,71.07,97.62,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
StarCoder 2 3B,StarCoder 2 3B,88.01,70.0,97.26,2024-02-22,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-0.5B,Qwen2.5-Coder-0.5B,87.38,60.0,99.84,2024-09-18,,,Unknown,Other,
Cerebras-GPT-13B,Cerebras-GPT-13B,82.36,64.73,91.26,2023-03-20,Cerebras Systems,United States of America,Open weights (unrestricted),Open weights,
DeepSeek Coder 1.3B,DeepSeek Coder 1.3B,62.18,38.48,75.96,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
stablelm-tuned-alpha-7b,stablelm-tuned-alpha-7b,54.28,24.31,69.98,2023-04-19,,,Unknown,Other,
